Outcome,Glc,Man,Gal,Alt,GlcNAc,ManNAc,GalNAc,GulNAc,GlcN,ManN,GalN,GlcA,GalA,Rha,Fuc,QuiNAc,FucNAc,Ara,Xyl,Rib,LDmanHep,Kdo,DDmanHep,Api,Fru
0,0.289243028,1,0,0,0,0,0,0,0,0,0,0,0,0.119802877,0,0,0,0,0.234262974,0,0,0,0,0,0
0,1,0.517241379,0,0,0,0,0,0,0,0,0,0,0,0.344827586,0,0,0,0,0,0,0,0,0,0,0
0,0.425760286,1,0.24686941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.417989418,1,0.222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.333333333,1,0,0,0,0,0,0,0,0,0,0,0.822222222,0,0,0,0,0,0,0,0,0,0,0,0
0,0.396270396,1,0,0,0,0,0,0,0,0,0,0,0.869463869,0,0,0,0,0,0,0,0,0,0,0,0
0,0.841954023,1,0.402298851,0,0,0,0,0,0,0,0,0.583982291,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0.08,0.75,0,0,0,0,0,0,0,0,0.064449502,0,0.06,0.054873215,0,0,0,0,0,0,0,0,0,0
0,1,0.547038328,0,0,0,0,0,0,0,0,0,0.383687587,0,0,0.724738676,0,0,0.348432056,0,0,0,0,0,0,0
0,1,0.558238636,0.186363636,0,0,0,0,0,0,0,0,0.372280482,0,0.087921857,0.813121284,0,0,0.330681855,0,0,0,0,0,0,0
0,1,0.572858732,0.082869855,0,0,0,0,0,0,0,0,0.36433961,0,0.058596537,0.825539755,0,0,0.383092367,0,0,0,0,0,0,0
0,1,0.620708447,0.075476839,0,0,0,0,0,0,0,0,0.374766164,0,0.071469747,0.74071365,0,0,0.346594044,0,0,0,0,0,0,0
0,1,0.446085672,0.1614968,0,0,0,0,0,0,0,0,0.337283549,0,0,0.724077881,0,0,0.368094576,0,0,0,0,0,0,0
0,0.3,1,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7
0,0,0,1,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0
0,0.583333269,0.999999889,0.583333269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.095,1,0,0,0,0,0,0
0,0.06685633,1,0.172119488,0,0.056899004,0,0,0,0,0,0,0,0,0,0,0,0,0.071123755,0.048364154,0,0,0,0,0,0
0,0.099616858,1,0.323754789,0,0,0,0,0,0,0,0,0,0.143678161,0.061302682,0,0,0,0.180076628,0.107279693,0,0,0,0,0,0
0,0.437908497,1,0.751633987,0,0,0,0,0,0,0,0,0,0.27124183,0.107843137,0,0,0,0.532679739,0.166666667,0,0,0,0,0,0
0,0.45,0,0.95,0,0,0,0,0,0,0,0,0.25,0,0,1,0,0,0,0,0,0,0,0,0,0
1,1,0.9,0.2,0,0,0,0,0,0,0,0.1,0.01,0.1,0,0,0,0,0,0,0,0,0,0,0,0
1,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0.25,0,0.15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.19,0,0,0
1,0.125,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.769230769,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.600000067,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.800000089,0,0,0,0,0,0
0,0,0.319532873,0.069002115,0,0,0,0,0,0,0,0,0,0.803849802,0.116503629,0,0,0,1,0.047133758,0,0,0,0,0,0
0,0,0,0.833333241,0,0,0,0,0,0,0,0,0.042961655,0.042961744,0,0,0,0,1,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0.73763155,0,0,0,0.910693745,0,0,0,0,0.795136689,1,0,0,0,0,0,0,0,0
1,0,0,0.911191363,0,0.742091154,0,0.742091154,0,0,0,0,0,0,1,0,0.79994396,0,0,0,0,0,0,0,0,0
1,0,0,0.911191363,0,0.742091154,0,0.742091154,0,0,0,0,0,0,1,0,0.79994396,0,0,0,0,0,0,0,0,0
1,0.455595681,0,0.455595681,0,0,0,0,0,0,0,0,0,0,1,0,0.39997198,0,0.546714878,0,0,0,0,0,0,0
1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0.742093414,0,0,0,0,0,0,0.845562518,0,0,1,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999996954,0.999996954,0.79994396,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.742088894,0,0,0.742088894,0,0,0,0.845557368,0,0,0,1,0.799941523,0,0,0,0,0,0,0,0
1,0.994533623,0,0,0,0,0,0,0,1,0,0,0,0.461450559,0,0,0,0,0,0,0,0.426232515,0.37610646,0,0,0.497266812
1,0.994533623,0,0.994533623,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.319548872,1,0.07518797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.040348964,1,0,0,0,0,0,0,0,0,0.041490563,0.001011967,0,0.052659138,0,0,0,0,0,0,0,0,0,0
0,0.023474176,0.064553983,0.164319231,0,0,0,0,0,0,0,0,0,0.032675129,0.322025877,0,0,0,1,0.063380282,0,0,0,0,0,0
0,1,0,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.216000024,0,0,0,0,0,0,0
1,0,0,0.081235718,0,0,0,0,0,0,0,0,0,1,0.058222564,0,0,0,0.077588408,0.073609516,0,0,0,0,0.389931489,0
1,0,0,0.218890885,0,0,0,0,0,0,0,0,0,1,0.221746093,0,0,0,0.121231888,0,0,0,0,0,0,0
1,0.02565754,0.014111647,0.039769186,0,0,0,0,0,0,0,0,0,1,0.018302852,0,0,0,0.043104671,0.003078905,0,0,0,0,0,0
1,0.021552333,0,0.076780187,0,0,0,0,0,0,0,0,0,1,0.019217995,0,0,0,0.035561354,0,0,0,0,0,0,0
1,0.020205312,0.00841888,0.143120963,0,0,0,0,0,0,0,0,0,1,0.101633626,0,0,0,0.169724643,0.018184783,0,0,0,0,0,0
1,0.065708333,0.006570833,0.065708333,0,0,0,0,0,0,0,0,0,1,0.030287271,0,0,0,0.064657007,0.028386003,0,0,0,0,0,0
1,0,0,0.035920555,0,0,0,0,0,0,0,0,0,1,0.026750322,0,0,0,0.040025766,0,0,0,0,0,0,0
1,0.090379009,1,0.037900875,0,0,0,0,0,0,0,0,0,0.489688783,0.095988132,0,0,0,0.017492713,0.055976683,0,0,0,0,0,0
1,0.424220135,0.526618098,0.443724509,0,0,0,0,0,0,0,0,0,1,0.016054016,0,0,0,0.011702626,0.421294525,0,0,0,0,0,0
0,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.45,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0.962962963,0.518518519,1,0,0,0,0,0,0,0,0,0,0,0.284527784,0,0,0,0.844444538,0.044444449,0,0,0,0,0,0.296296296
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.04,1,0.09,0,0,0,0,0,0.09,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0
